Density,GenerationsToStable,SurvivalRate
0,05,139,0,0054199999999999995
0,1,492,0,03635
0,15000000000000002,478,0,03693
0,2,490,0,045070000000000006
0,25,497,0,042159999999999996
0,3,481,0,050370000000000005
0,35,500,0,05073
0,39999999999999997,500,0,04358
0,44999999999999996,500,0,04541
0,49999999999999994,497,0,04424
0,5499999999999999,495,0,04217
0,6,500,0,04964
0,65,492,0,03718
0,7000000000000001,488,0,03412
0,7500000000000001,327,0,01747
0,8000000000000002,90,0,00558
0,8500000000000002,17,0,0011899999999999997
0,9000000000000002,14,0,00031000000000000005
